cpu,mem,disk,net,mid,cost
2,8,60,12,v_0,0.113
2,8,60,12,v_1,0.113
2,8,60,12,v_2,0.113
2,8,60,12,v_3,0.113
2,8,60,12,v_4,0.113
2,8,60,12,v_5,0.113
2,8,60,12,v_6,0.113
2,8,60,12,v_7,0.113
2,8,60,12,v_8,0.113
2,8,60,12,v_9,0.113
2,8,60,12,v_10,0.113
2,8,60,12,v_11,0.113
2,8,60,12,v_12,0.113
2,8,60,12,v_13,0.113
2,8,60,12,v_14,0.113
2,8,60,12,v_15,0.113
2,8,60,12,v_16,0.113
2,8,60,12,v_17,0.113
2,8,60,12,v_18,0.113
2,8,60,12,v_19,0.113
2,8,60,12,v_20,0.113
2,8,60,12,v_21,0.113
2,8,60,12,v_22,0.113
2,8,60,12,v_23,0.113
2,8,60,12,v_24,0.113
2,8,60,12,v_25,0.113
2,8,60,12,v_26,0.113
2,8,60,12,v_27,0.113
2,8,60,12,v_28,0.113
2,8,60,12,v_29,0.113
2,8,60,12,v_30,0.113
2,8,60,12,v_31,0.113
2,8,60,12,v_32,0.113
2,8,60,12,v_33,0.113
2,8,60,12,v_34,0.113
2,8,60,12,v_35,0.113
2,8,60,12,v_36,0.113
2,8,60,12,v_37,0.113
2,8,60,12,v_38,0.113
2,8,60,12,v_39,0.113
2,8,60,12,v_40,0.113
2,8,60,12,v_41,0.113
2,8,60,12,v_42,0.113
2,8,60,12,v_43,0.113
2,8,60,12,v_44,0.113
2,8,60,12,v_45,0.113
2,8,60,12,v_46,0.113
2,8,60,12,v_47,0.113
2,8,60,12,v_48,0.113
2,8,60,12,v_49,0.113
2,8,60,12,v_50,0.113
2,8,60,12,v_51,0.113
2,8,60,12,v_52,0.113
2,8,60,12,v_53,0.113
2,8,60,12,v_54,0.113
2,8,60,12,v_55,0.113
2,8,60,12,v_56,0.113
2,8,60,12,v_57,0.113
2,8,60,12,v_58,0.113
2,8,60,12,v_59,0.113
2,8,60,12,v_60,0.113
2,8,60,12,v_61,0.113
2,8,60,12,v_62,0.113
2,8,60,12,v_63,0.113
2,8,60,12,v_64,0.113
2,8,60,12,v_65,0.113
2,8,60,12,v_66,0.113
2,8,60,12,v_67,0.113
2,8,60,12,v_68,0.113
2,8,60,12,v_69,0.113
2,8,60,12,v_70,0.113
2,8,60,12,v_71,0.113
2,8,60,12,v_72,0.113
2,8,60,12,v_73,0.113
2,8,60,12,v_74,0.113
2,8,60,12,v_75,0.113
2,8,60,12,v_76,0.113
2,8,60,12,v_77,0.113
2,8,60,12,v_78,0.113
2,8,60,12,v_79,0.113
2,8,60,12,v_80,0.113
2,8,60,12,v_81,0.113
2,8,60,12,v_82,0.113
2,8,60,12,v_83,0.113
2,8,60,12,v_84,0.113
2,8,60,12,v_85,0.113
2,8,60,12,v_86,0.113
2,8,60,12,v_87,0.113
2,8,60,12,v_88,0.113
2,8,60,12,v_89,0.113
2,8,60,12,v_90,0.113
2,8,60,12,v_91,0.113
2,8,60,12,v_92,0.113
2,8,60,12,v_93,0.113
2,8,60,12,v_94,0.113
2,8,60,12,v_95,0.113
2,8,60,12,v_96,0.113
2,8,60,12,v_97,0.113
2,8,60,12,v_98,0.113
2,8,60,12,v_99,0.113
2,8,60,12,v_100,0.113
2,8,60,12,v_101,0.113
2,8,60,12,v_102,0.113
2,8,60,12,v_103,0.113
2,8,60,12,v_104,0.113
2,8,60,12,v_105,0.113
2,8,60,12,v_106,0.113
2,8,60,12,v_107,0.113
2,8,60,12,v_108,0.113
2,8,60,12,v_109,0.113
2,8,60,12,v_110,0.113
2,8,60,12,v_111,0.113
2,8,60,12,v_112,0.113
2,8,60,12,v_113,0.113
2,8,60,12,v_114,0.113
2,8,60,12,v_115,0.113
2,8,60,12,v_116,0.113
2,8,60,12,v_117,0.113
2,8,60,12,v_118,0.113
2,8,60,12,v_119,0.113
2,8,60,12,v_120,0.113
2,8,60,12,v_121,0.113
2,8,60,12,v_122,0.113
2,8,60,12,v_123,0.113
2,8,60,12,v_124,0.113
2,8,60,12,v_125,0.113
2,8,60,12,v_126,0.113
2,8,60,12,v_127,0.113
2,8,60,12,v_128,0.113
2,8,60,12,v_129,0.113
2,8,60,12,v_130,0.113
2,8,60,12,v_131,0.113
2,8,60,12,v_132,0.113
2,8,60,12,v_133,0.113
2,8,60,12,v_134,0.113
2,8,60,12,v_135,0.113
2,8,60,12,v_136,0.113
2,8,60,12,v_137,0.113
2,8,60,12,v_138,0.113
2,8,60,12,v_139,0.113
2,8,60,12,v_140,0.113
2,8,60,12,v_141,0.113
2,8,60,12,v_142,0.113
2,8,60,12,v_143,0.113
2,8,60,12,v_144,0.113
2,8,60,12,v_145,0.113
2,8,60,12,v_146,0.113
2,8,60,12,v_147,0.113
2,8,60,12,v_148,0.113
2,8,60,12,v_149,0.113
2,8,60,12,v_150,0.113
2,8,60,12,v_151,0.113
2,8,60,12,v_152,0.113
2,8,60,12,v_153,0.113
2,8,60,12,v_154,0.113
2,8,60,12,v_155,0.113
2,8,60,12,v_156,0.113
2,8,60,12,v_157,0.113
2,8,60,12,v_158,0.113
2,8,60,12,v_159,0.113
2,8,60,12,v_160,0.113
2,8,60,12,v_161,0.113
2,8,60,12,v_162,0.113
2,8,60,12,v_163,0.113
2,8,60,12,v_164,0.113
2,8,60,12,v_165,0.113
2,8,60,12,v_166,0.113
2,8,60,12,v_167,0.113
2,8,60,12,v_168,0.113
2,8,60,12,v_169,0.113
2,8,60,12,v_170,0.113
2,8,60,12,v_171,0.113
2,8,60,12,v_172,0.113
2,8,60,12,v_173,0.113
2,8,60,12,v_174,0.113
2,8,60,12,v_175,0.113
2,8,60,12,v_176,0.113
2,8,60,12,v_177,0.113
2,8,60,12,v_178,0.113
2,8,60,12,v_179,0.113
2,8,60,12,v_180,0.113
2,8,60,12,v_181,0.113
2,8,60,12,v_182,0.113
2,8,60,12,v_183,0.113
2,8,60,12,v_184,0.113
2,8,60,12,v_185,0.113
2,8,60,12,v_186,0.113
2,8,60,12,v_187,0.113
2,8,60,12,v_188,0.113
2,8,60,12,v_189,0.113
2,8,60,12,v_190,0.113
2,8,60,12,v_191,0.113
2,8,60,12,v_192,0.113
2,8,60,12,v_193,0.113
2,8,60,12,v_194,0.113
2,8,60,12,v_195,0.113
2,8,60,12,v_196,0.113
2,8,60,12,v_197,0.113
2,8,60,12,v_198,0.113
2,8,60,12,v_199,0.113
2,8,60,12,v_200,0.113
2,8,60,12,v_201,0.113
2,8,60,12,v_202,0.113
2,8,60,12,v_203,0.113
2,8,60,12,v_204,0.113
2,8,60,12,v_205,0.113
2,8,60,12,v_206,0.113
2,8,60,12,v_207,0.113
2,8,60,12,v_208,0.113
2,8,60,12,v_209,0.113
2,8,60,12,v_210,0.113
2,8,60,12,v_211,0.113
2,8,60,12,v_212,0.113
2,8,60,12,v_213,0.113
2,8,60,12,v_214,0.113
2,8,60,12,v_215,0.113
2,8,60,12,v_216,0.113
2,8,60,12,v_217,0.113
2,8,60,12,v_218,0.113
2,8,60,12,v_219,0.113
2,8,60,12,v_220,0.113
2,8,60,12,v_221,0.113
2,8,60,12,v_222,0.113
2,8,60,12,v_223,0.113
2,8,60,12,v_224,0.113
2,8,60,12,v_225,0.113
2,8,60,12,v_226,0.113
2,8,60,12,v_227,0.113
2,8,60,12,v_228,0.113
2,8,60,12,v_229,0.113
2,8,60,12,v_230,0.113
2,8,60,12,v_231,0.113
2,8,60,12,v_232,0.113
2,8,60,12,v_233,0.113
2,8,60,12,v_234,0.113
2,8,60,12,v_235,0.113
2,8,60,12,v_236,0.113
2,8,60,12,v_237,0.113
2,8,60,12,v_238,0.113
2,8,60,12,v_239,0.113
2,8,60,12,v_240,0.113
2,8,60,12,v_241,0.113
2,8,60,12,v_242,0.113
2,8,60,12,v_243,0.113
2,8,60,12,v_244,0.113
2,8,60,12,v_245,0.113
2,8,60,12,v_246,0.113
2,8,60,12,v_247,0.113
2,8,60,12,v_248,0.113
2,8,60,12,v_249,0.113
2,8,60,12,v_250,0.113
2,8,60,12,v_251,0.113
2,8,60,12,v_252,0.113
2,8,60,12,v_253,0.113
2,8,60,12,v_254,0.113
2,8,60,12,v_255,0.113
2,8,60,12,v_256,0.113
2,8,60,12,v_257,0.113
2,8,60,12,v_258,0.113
2,8,60,12,v_259,0.113
2,8,60,12,v_260,0.113
2,8,60,12,v_261,0.113
2,8,60,12,v_262,0.113
2,8,60,12,v_263,0.113
2,8,60,12,v_264,0.113
2,8,60,12,v_265,0.113
2,8,60,12,v_266,0.113
2,8,60,12,v_267,0.113
2,8,60,12,v_268,0.113
2,8,60,12,v_269,0.113
2,8,60,12,v_270,0.113
2,8,60,12,v_271,0.113
2,8,60,12,v_272,0.113
2,8,60,12,v_273,0.113
2,8,60,12,v_274,0.113
2,8,60,12,v_275,0.113
2,8,60,12,v_276,0.113
2,8,60,12,v_277,0.113
2,8,60,12,v_278,0.113
2,8,60,12,v_279,0.113
2,8,60,12,v_280,0.113
2,8,60,12,v_281,0.113
2,8,60,12,v_282,0.113
2,8,60,12,v_283,0.113
2,8,60,12,v_284,0.113
2,8,60,12,v_285,0.113
2,8,60,12,v_286,0.113
2,8,60,12,v_287,0.113
2,8,60,12,v_288,0.113
2,8,60,12,v_289,0.113
2,8,60,12,v_290,0.113
2,8,60,12,v_291,0.113
2,8,60,12,v_292,0.113
2,8,60,12,v_293,0.113
2,8,60,12,v_294,0.113
2,8,60,12,v_295,0.113
2,8,60,12,v_296,0.113
2,8,60,12,v_297,0.113
2,8,60,12,v_298,0.113
2,8,60,12,v_299,0.113
2,8,60,12,v_300,0.113
2,8,60,12,v_301,0.113
2,8,60,12,v_302,0.113
2,8,60,12,v_303,0.113
2,8,60,12,v_304,0.113
2,8,60,12,v_305,0.113
2,8,60,12,v_306,0.113
2,8,60,12,v_307,0.113
2,8,60,12,v_308,0.113
2,8,60,12,v_309,0.113
2,8,60,12,v_310,0.113
2,8,60,12,v_311,0.113
2,8,60,12,v_312,0.113
2,8,60,12,v_313,0.113
2,8,60,12,v_314,0.113
2,8,60,12,v_315,0.113
2,8,60,12,v_316,0.113
2,8,60,12,v_317,0.113
2,8,60,12,v_318,0.113
2,8,60,12,v_319,0.113
2,8,60,12,v_320,0.113
2,8,60,12,v_321,0.113
2,8,60,12,v_322,0.113
2,8,60,12,v_323,0.113
2,8,60,12,v_324,0.113
2,8,60,12,v_325,0.113
2,8,60,12,v_326,0.113
2,8,60,12,v_327,0.113
2,8,60,12,v_328,0.113
2,8,60,12,v_329,0.113
2,8,60,12,v_330,0.113
2,8,60,12,v_331,0.113
2,8,60,12,v_332,0.113
2,8,60,12,v_333,0.113
2,8,60,12,v_334,0.113
2,8,60,12,v_335,0.113
2,8,60,12,v_336,0.113
2,8,60,12,v_337,0.113
2,8,60,12,v_338,0.113
2,8,60,12,v_339,0.113
2,8,60,12,v_340,0.113
2,8,60,12,v_341,0.113
2,8,60,12,v_342,0.113
2,8,60,12,v_343,0.113
2,8,60,12,v_344,0.113
2,8,60,12,v_345,0.113
2,8,60,12,v_346,0.113
2,8,60,12,v_347,0.113
2,8,60,12,v_348,0.113
2,8,60,12,v_349,0.113
2,8,60,12,v_350,0.113
2,8,60,12,v_351,0.113
2,8,60,12,v_352,0.113
2,8,60,12,v_353,0.113
2,8,60,12,v_354,0.113
2,8,60,12,v_355,0.113
2,8,60,12,v_356,0.113
2,8,60,12,v_357,0.113
2,8,60,12,v_358,0.113
2,8,60,12,v_359,0.113
2,8,60,12,v_360,0.113
2,8,60,12,v_361,0.113
2,8,60,12,v_362,0.113
2,8,60,12,v_363,0.113
2,8,60,12,v_364,0.113
2,8,60,12,v_365,0.113
2,8,60,12,v_366,0.113
2,8,60,12,v_367,0.113
2,8,60,12,v_368,0.113
2,8,60,12,v_369,0.113
2,8,60,12,v_370,0.113
2,8,60,12,v_371,0.113
2,8,60,12,v_372,0.113
2,8,60,12,v_373,0.113
2,8,60,12,v_374,0.113
2,8,60,12,v_375,0.113
2,8,60,12,v_376,0.113
2,8,60,12,v_377,0.113
2,8,60,12,v_378,0.113
2,8,60,12,v_379,0.113
2,8,60,12,v_380,0.113
2,8,60,12,v_381,0.113
2,8,60,12,v_382,0.113
2,8,60,12,v_383,0.113
2,8,60,12,v_384,0.113
2,8,60,12,v_385,0.113
2,8,60,12,v_386,0.113
2,8,60,12,v_387,0.113
2,8,60,12,v_388,0.113
2,8,60,12,v_389,0.113
2,8,60,12,v_390,0.113
2,8,60,12,v_391,0.113
2,8,60,12,v_392,0.113
2,8,60,12,v_393,0.113
2,8,60,12,v_394,0.113
2,8,60,12,v_395,0.113
2,8,60,12,v_396,0.113
2,8,60,12,v_397,0.113
2,8,60,12,v_398,0.113
2,8,60,12,v_399,0.113
2,8,60,12,v_400,0.113
2,8,60,12,v_401,0.113
2,8,60,12,v_402,0.113
2,8,60,12,v_403,0.113
2,8,60,12,v_404,0.113
2,8,60,12,v_405,0.113
2,8,60,12,v_406,0.113
2,8,60,12,v_407,0.113
2,8,60,12,v_408,0.113
2,8,60,12,v_409,0.113
2,8,60,12,v_410,0.113
2,8,60,12,v_411,0.113
2,8,60,12,v_412,0.113
2,8,60,12,v_413,0.113
2,8,60,12,v_414,0.113
2,8,60,12,v_415,0.113
2,8,60,12,v_416,0.113
2,8,60,12,v_417,0.113
2,8,60,12,v_418,0.113
2,8,60,12,v_419,0.113
2,8,60,12,v_420,0.113
2,8,60,12,v_421,0.113
2,8,60,12,v_422,0.113
2,8,60,12,v_423,0.113
2,8,60,12,v_424,0.113
2,8,60,12,v_425,0.113
2,8,60,12,v_426,0.113
2,8,60,12,v_427,0.113
2,8,60,12,v_428,0.113
2,8,60,12,v_429,0.113
2,8,60,12,v_430,0.113
2,8,60,12,v_431,0.113
2,8,60,12,v_432,0.113
2,8,60,12,v_433,0.113
2,8,60,12,v_434,0.113
2,8,60,12,v_435,0.113
2,8,60,12,v_436,0.113
2,8,60,12,v_437,0.113
2,8,60,12,v_438,0.113
2,8,60,12,v_439,0.113
2,8,60,12,v_440,0.113
2,8,60,12,v_441,0.113
2,8,60,12,v_442,0.113
2,8,60,12,v_443,0.113
2,8,60,12,v_444,0.113
2,8,60,12,v_445,0.113
2,8,60,12,v_446,0.113
2,8,60,12,v_447,0.113
2,8,60,12,v_448,0.113
2,8,60,12,v_449,0.113
2,8,60,12,v_450,0.113
2,8,60,12,v_451,0.113
2,8,60,12,v_452,0.113
2,8,60,12,v_453,0.113
2,8,60,12,v_454,0.113
2,8,60,12,v_455,0.113
2,8,60,12,v_456,0.113
2,8,60,12,v_457,0.113
2,8,60,12,v_458,0.113
2,8,60,12,v_459,0.113
2,8,60,12,v_460,0.113
2,8,60,12,v_461,0.113
2,8,60,12,v_462,0.113
2,8,60,12,v_463,0.113
2,8,60,12,v_464,0.113
2,8,60,12,v_465,0.113
2,8,60,12,v_466,0.113
2,8,60,12,v_467,0.113
2,8,60,12,v_468,0.113
2,8,60,12,v_469,0.113
2,8,60,12,v_470,0.113
2,8,60,12,v_471,0.113
2,8,60,12,v_472,0.113
2,8,60,12,v_473,0.113
2,8,60,12,v_474,0.113
2,8,60,12,v_475,0.113
2,8,60,12,v_476,0.113
2,8,60,12,v_477,0.113
2,8,60,12,v_478,0.113
2,8,60,12,v_479,0.113
2,8,60,12,v_480,0.113
2,8,60,12,v_481,0.113
2,8,60,12,v_482,0.113
2,8,60,12,v_483,0.113
2,8,60,12,v_484,0.113
2,8,60,12,v_485,0.113
2,8,60,12,v_486,0.113
2,8,60,12,v_487,0.113
2,8,60,12,v_488,0.113
2,8,60,12,v_489,0.113
2,8,60,12,v_490,0.113
2,8,60,12,v_491,0.113
2,8,60,12,v_492,0.113
2,8,60,12,v_493,0.113
2,8,60,12,v_494,0.113
2,8,60,12,v_495,0.113
2,8,60,12,v_496,0.113
2,8,60,12,v_497,0.113
2,8,60,12,v_498,0.113
2,8,60,12,v_499,0.113
2,8,60,12,v_500,0.113
2,8,60,12,v_501,0.113
2,8,60,12,v_502,0.113
2,8,60,12,v_503,0.113
2,8,60,12,v_504,0.113
2,8,60,12,v_505,0.113
2,8,60,12,v_506,0.113
2,8,60,12,v_507,0.113
2,8,60,12,v_508,0.113
2,8,60,12,v_509,0.113
2,8,60,12,v_510,0.113
2,8,60,12,v_511,0.113
2,8,60,12,v_512,0.113
2,8,60,12,v_513,0.113
2,8,60,12,v_514,0.113
2,8,60,12,v_515,0.113
2,8,60,12,v_516,0.113
2,8,60,12,v_517,0.113
2,8,60,12,v_518,0.113
2,8,60,12,v_519,0.113
2,8,60,12,v_520,0.113
2,8,60,12,v_521,0.113
2,8,60,12,v_522,0.113
2,8,60,12,v_523,0.113
2,8,60,12,v_524,0.113
2,8,60,12,v_525,0.113
2,8,60,12,v_526,0.113
2,8,60,12,v_527,0.113
2,8,60,12,v_528,0.113
2,8,60,12,v_529,0.113
2,8,60,12,v_530,0.113
2,8,60,12,v_531,0.113
2,8,60,12,v_532,0.113
2,8,60,12,v_533,0.113
2,8,60,12,v_534,0.113
2,8,60,12,v_535,0.113
2,8,60,12,v_536,0.113
2,8,60,12,v_537,0.113
2,8,60,12,v_538,0.113
2,8,60,12,v_539,0.113
2,8,60,12,v_540,0.113
2,8,60,12,v_541,0.113
2,8,60,12,v_542,0.113
2,8,60,12,v_543,0.113
2,8,60,12,v_544,0.113
2,8,60,12,v_545,0.113
2,8,60,12,v_546,0.113
2,8,60,12,v_547,0.113
2,8,60,12,v_548,0.113
2,8,60,12,v_549,0.113
2,8,60,12,v_550,0.113
2,8,60,12,v_551,0.113
2,8,60,12,v_552,0.113
2,8,60,12,v_553,0.113
2,8,60,12,v_554,0.113
2,8,60,12,v_555,0.113
2,8,60,12,v_556,0.113
2,8,60,12,v_557,0.113
2,8,60,12,v_558,0.113
2,8,60,12,v_559,0.113
2,8,60,12,v_560,0.113
2,8,60,12,v_561,0.113
2,8,60,12,v_562,0.113
2,8,60,12,v_563,0.113
2,8,60,12,v_564,0.113
2,8,60,12,v_565,0.113
2,8,60,12,v_566,0.113
2,8,60,12,v_567,0.113
2,8,60,12,v_568,0.113
2,8,60,12,v_569,0.113
2,8,60,12,v_570,0.113
2,8,60,12,v_571,0.113
2,8,60,12,v_572,0.113
2,8,60,12,v_573,0.113
2,8,60,12,v_574,0.113
2,8,60,12,v_575,0.113
2,8,60,12,v_576,0.113
2,8,60,12,v_577,0.113
2,8,60,12,v_578,0.113
2,8,60,12,v_579,0.113
2,8,60,12,v_580,0.113
